"A","Name on ballot","Candidate

Sequence","H1","   Type
      Nominat-
            ion","Electoral
district","H2","Sex","Candidate's full name","Voter number","SourceFile"
"255 ","Progress Party","17 ","","Party","Anbar","","Male","Anwar Jiyad Attia Ali Al-Asafni","260 ","ElectionCandidates_Original.csv"
"236 ","Al-Omran Party","8 ","","Party","Nineveh","","   female
 ","Anwar Kadhim Muhammad Jawad Al-Shammari","6749 ","ElectionCandidates_Original.csv"
"255 ","Progress Party","23 ","","Party","Diyala","","   female
 ","Anwar Mohammed Yasser Ahmed
Al-Tani","4946 ","ElectionCandidates_Original.csv"
"202 ","Sadiqun Movement","1 ","","Party","Karbala","","Male","Anwar Mu'ayyad Wadi Sayhud Pharaoh","5852 ","ElectionCandidates_Original.csv"
"202 ","Sadiqun Movement","10 ","","Party","Karbala","","Male","Anwar Obaid Hadi Mutlaq Al Mutlaq","5861 ","ElectionCandidates_Original.csv"
"237 ","Al-Hadbaa National
Alliance","28 ","","Alliance","Nineveh","","   female
 ","Anwar Qasim Duwaih Jalib Al-Janani","6791 ","ElectionCandidates_Original.csv"
"275 ","Kurdistan Democratic Pa-
rner","10 ","","Party","Sulaymaniyah","","Male","Anwar Saeed Fathallah Mu-
stafa","1018 ","ElectionCandidates_Original.csv"
"241 ","Azm Iraq Alliance","2 ","","Alliance","Nineveh","","Male","Anwarandi, the departure of Duaaj Al-
Lahithi","6882 ","ElectionCandidates_Original.csv"
"218 ","Badr Organization","4 ","","Party","Nineveh","","   female
 ","Anwarjiad Shahada Muhammad","6633 ","ElectionCandidates_Original.csv"
"202 ","Sadiqun Movement","139 ","","Party","Baghdad","","Male","Aoun Haidar Eidan Abdul Lami","2404 ","ElectionCandidates_Original.csv"
"257 ","State of Law Coalition","3 ","","Alliance","Najaf","","Male","Aqeel Abbas Jassab Attia Al-Fatlawi","1723 ","ElectionCandidates_Original.csv"
"202 ","Sadiqun Movement","18 ","","Party","Dhi Qar","","Male","Aqeel Abdul Fahd Masoud Al Rahma","5002 ","ElectionCandidates_Original.csv"
"270 ","Iraq Reform Party","63 ","","Party","Baghdad","","Male","Aqeel Abdul-Ridha Sadiq Hasirn Al-Aboudi","4388 ","ElectionCandidates_Original.csv"
"244 ","Al-Arafri Foun-
dation Coalition","9 ","","Alliance","Karbala","","Male","Aqeel Fahim Hasir N        Salman Al-Zubaidi","5975 ","ElectionCandidates_Original.csv"
"218 ","Badr Organization","3 ","","Party","The two","","Male","Aqeel Hadi Jabbar Thamer Al-Absawi","1383 ","ElectionCandidates_Original.csv"
"224 ","Good news, Iraq","12 ","","Alliance","Najaf","","Male","Aqeel Hakim Haseer N Alwan Al-Daamiyi","1574 ","ElectionCandidates_Original.csv"
"271 ","Services Alliance","59 ","","Alliance","Baghdad","","Male","Aqeel Hamid Awda Abdullah Al-Awda","4456 ","ElectionCandidates_Original.csv"
"224 ","Good news, Iraq","15 ","","Alliance","Najaf","","Male","Aqeel Hatem Ghazi Daghim Al-Khazali","1577 ","ElectionCandidates_Original.csv"
"252 ","Design Alliance","2 ","","Alliance","The egg","","Male","Aqeel Ibrahim Issa Ali Al-Khalidi","764 ","ElectionCandidates_Original.csv"
"291 ","The Elephant Front","13 ","","Party","Baghdad","","Male","Aqeel Jamal Stariyar al-Mandlawi","4549 ","ElectionCandidates_Original.csv"
"251 ","Rights Movement","28 ","","Party","Baghdad","","Male","Aqeel Jassim Sahn Haseer N Al-Tamimiyy","3644 ","ElectionCandidates_Original.csv"
"250 ","Alternative Allia-
nce","3 ","","Alliance","Najaf","","Male","Aqeel Kazem Hadi Ali Al-Fahham","1675 ","ElectionCandidates_Original.csv"
"218 ","Badr Organization","14 ","","Party","Najaf","","Male","Aqeel Kazim Abdul Ali Sabbar Al-Arisun
Y","1552 ","ElectionCandidates_Original.csv"
"202 ","Sadiqun Movement","16 ","","Party","Najaf","","Male","Aqeel Khamat Rasan Shatnan Al-Hajimi","1494 ","ElectionCandidates_Original.csv"
"230 ","Al-Arafari Al-Ithar
Party","11 ","","Party","Dhi Qar","","Male","Aqeel Latif Daif Allah Jadaan Al-Ghazi","5161 ","ElectionCandidates_Original.csv"
"259 ","National Depth Allia-
nce","89 ","","Alliance","Baghdad","","Male","Aqeel Mohammed Falih Hassan Al-Akeili","4066 ","ElectionCandidates_Original.csv"
"251 ","Rights Movement","31 ","","Party","Baghdad","","Male","Aqeel Mohsen Zayed Jaafar Al-Furaiji","3646 ","ElectionCandidates_Original.csv"
"271 ","Services Alliance","29 ","","Alliance","The egg","","Male","Aqeel Nasser Aboud Hassan","919 ","ElectionCandidates_Original.csv"
"229 ","Kirkuk Turkmen Rescue Alliance","6 ","","Alliance","Kirkuk","","Male","Aqeel Qasim Kazim Moskhiah","6178 ","ElectionCandidates_Original.csv"
"231 ","National State Forces Alliance","124 ","","Alliance","Baghdad","","Male","Aqeel Saberrasn Y Atiya","3149 ","ElectionCandidates_Original.csv"
"251 ","Rights Movement","6 ","","Party","Al-Qadisiyah","","Male","Aqeel Shamran Awda Mishlosh Al-Karawi","1247 ","ElectionCandidates_Original.csv"
"264 ","National Pioneers
Movement","4 ","","Party","Baghdad","","   female
 ","Aqeel Shams Hamad Al-Zahir Al-Mashhadani","4112 ","ElectionCandidates_Original.csv"
"237 ","Al-Hadbaa National
Alliance","42 ","","Alliance","Nineveh","","Male","Aqeel Sheet Qasim Ghazi Al-Sawaf","6805 ","ElectionCandidates_Original.csv"
"202 ","Sadiqun Movement","17 ","","Party","Babylon","","Male","Aqil Abdul Hadi monitored Barak Al-Silawi","1807 ","ElectionCandidates_Original.csv"
"259 ","National Depth Allia-
nce","121 ","","Alliance","Baghdad","","Male","Aqil Abdul Karim Lafta Hashim","4095 ","ElectionCandidates_Original.csv"
"233 ","The machine","17 ","","Party","Dhi Qar","","Male","Aqil Hani Jabbar Mohsen Al-Aboudi","5241 ","ElectionCandidates_Original.csv"
"207 ","Reconstruction and Development Coali-
tion","130 ","","Alliance","Baghdad","","Male","Aqil Jiali Hamoud","2573 ","ElectionCandidates_Original.csv"
"259 ","National Depth Allia-
nce","21 ","","Alliance","Baghdad","","Male","Aqil Muhammad Hamoudi Saleh Makkia","4001 ","ElectionCandidates_Original.csv"
"266 ","Alliance of Excelle-
nce","14 ","","Alliance","Saladin","","Male","Arab Khadir Abbas Matar Al-Samarani","5771 ","ElectionCandidates_Original.csv"
"250 ","Alternative Allia-
nce","79 ","","Alliance","Baghdad","","female
 ","Arab Turkish Sufi Manjal Kalani","3605 ","ElectionCandidates_Original.csv"
"231 ","National State Forces Alliance","10 ","","Alliance","Najaf","","Male","Arafat Hasir Khudhair Ghair Al-Dajili","1596 ","ElectionCandidates_Original.csv"
"222 ","Patriotic Union of Kurdistan","5 ","","Party","Kirkuk","","Male","Aram Mohammad Bakr Mo-
hammad","6153 ","ElectionCandidates_Original.csv"
"222 ","Patriotic Union of Kurdistan","26 ","","Party","Diyala","","Male","Aram Mohammad Saleh Mohammad Tayyeb Bajlan","4767 ","ElectionCandidates_Original.csv"
"241 ","Azm Iraq Alliance","139 ","","Alliance","Baghdad","","Male","Aras Abdulkhaliq Hamad Jameel Al-Mashhadani","3329 ","ElectionCandidates_Original.csv"
"222 ","Patriotic Union of Kurdistan","22 ","","Party","Sulaymaniyah","","Male","Aras Abed Akram Othman","960 ","ElectionCandidates_Original.csv"
"303 ","Aras Habib Karim","1 ","","  Pe-
rson","Wasit","","Male","Aras Habib Muhammad Karim","7761 ","ElectionCandidates_Original.csv"
"222 ","Patriotic Union of Kurdistan","28 ","","Party","Erbil","","Male","Araz Jalal Mahmoud Saleh Bradosthar","32 ","ElectionCandidates_Original.csv"
"268 ","Iraqi Turkmen Front","2 ","","Party","Sulaymaniyah","","Male","Ardalan Tariq Rashid Wali Al-Qassab","1005 ","ElectionCandidates_Original.csv"
"221 ","National Sovereignty Alliance - Le-
gislation","8 ","","Alliance","Anbar","","   female
 ","Areej Haseer N Aliwi KhalafAl-Jumaili","146 ","ElectionCandidates_Original.csv"
"246 ","National Expansion Party","5 ","","Party","Anbar","","   female
 ","Areej plows Ismail Hassan Al-Mohammadi","243 ","ElectionCandidates_Original.csv"
"202 ","Sadiqun Movement","66 ","","Party","Baghdad","","   female
 ","Arej Abdul Razzaq Habib Zahir Amidi","2334 ","ElectionCandidates_Original.csv"
"262 ","Diwaniyah Flame","19 ","","Alliance","Al-Qadisiyah","","   female
 ","Arej Adnan Kadhim Imran Al-Amadi","1326 ","ElectionCandidates_Original.csv"
"221 ","National Sovereignty Alliance - Le-
gislation","15 ","","Alliance","Anbar","","   female
 ","Arej Nabil Farhan Abdul Hadithi","153 ","ElectionCandidates_Original.csv"
"205 ","Anbar is our identity","29 ","","Alliance","Anbar","","female
 ","Arej Sami Muajjal Salem Al-Mohammadi","137 ","ElectionCandidates_Original.csv"
"202 ","Sadiqun Movement","3 ","","Party","Maysan","","   female
 ","Arej Shaker FadhelNael Al-Khafaji","6338 ","ElectionCandidates_Original.csv"
"275 ","Kurdistan Democratic Pa-
rner","2 ","","Party","Sulaymaniyah","","Male","Arian Abdulrahman Ismail Beer and","1010 ","ElectionCandidates_Original.csv"
"257 ","State of Law Coalition","2 ","","Alliance","Dhi Qar","","Male","Arif Abdul Jalil Haddad Jaber Al-Hamami","5422 ","ElectionCandidates_Original.csv"
"244 ","Al-Arafri Foun-
dation Coalition","29 ","","Alliance","Baghdad","","Male","Arif Jabermous Jafar Al-Yaqouni","3358 ","ElectionCandidates_Original.csv"
"241 ","Azm Iraq Alliance","10 ","","Alliance","Anbar","","Male","Arif Mukhisyad Hamad Al-Alwani","193 ","ElectionCandidates_Original.csv"
"260 ","National Brigade Pa-
rty","4 ","","Party","Nineveh","","Male","Arjan Tariq Burhan Abdullah Al-Qadir Ghoshjizadeh","7067 ","ElectionCandidates_Original.csv"
"236 ","Al-Omran Party","18 ","","Party","Nineveh","","   female
 ","Arkan Abdul Qader plows Qasim Al-
Hamdani","6757 ","ElectionCandidates_Original.csv"
"244 ","Al-Arafri Foun-
dation Coalition","5 ","","Alliance","Dhi Qar","","Male","Arkan Abdul-Azim Muhammad Sajit Al-Qargholiyi","5305 ","ElectionCandidates_Original.csv"
"223 ","Coming","15 ","","Party","Babylon","","Male","Arkan Abdulkadhim Abbas Aliwi
Al-Hamdani","1960 ","ElectionCandidates_Original.csv"
"245 ","Canon's secr-
ets","15 ","","Party","Dhi Qar","","Male","Arkan Ali Akla Jabermos","5353 ","ElectionCandidates_Original.csv"
"250 ","Alternative Allia-
nce","13 ","","Alliance","Saladin","","Male","Arkan Ali Kaoud Ahmed Al-Jabouri","5723 ","ElectionCandidates_Original.csv"
"250 ","Alternative Allia-
nce","9 ","","Alliance","Wasit","","Male","Arkan Hassan Fareeh Sultan Dari'i","7685 ","ElectionCandidates_Original.csv"
"222 ","Patriotic Union of Kurdistan","9 ","","Party","Diyala","","Male","Arkan Haydar Mirza Habibkaki","4750 ","ElectionCandidates_Original.csv"
"218 ","Badr Organization","13 ","","Party","Nineveh","","Male","Arkan Iyad Hassan Abdul Rahim Korsh","6642 ","ElectionCandidates_Original.csv"
"231 ","National State Forces Alliance","10 ","","Alliance","Diyala","","Male","Arkan Jassim Abbas Hajim Al-Saadi","4779 ","ElectionCandidates_Original.csv"
"241 ","Azm Iraq Alliance","3 ","","Alliance","Anbar","","Male","Arkan Khalaf
Tarmosr Free","186 ","ElectionCandidates_Original.csv"
"282 ","National Elevation Party","6 ","","Party","Kirkuk","","Male","Arkan Mohammad Abbas Bandar","6319 ","ElectionCandidates_Original.csv"
"272 ","The Arab Project, Iraq","16 ","","Party","Nineveh","","Male","Arkan Salem Aqla Rajab Al-Sabaawi","7223 ","ElectionCandidates_Original.csv"
"221 ","National Sovereignty Alliance - Le-
gislation","62 ","","Alliance","Baghdad","","Male","Arshad Hamid Lahmod Hammadi Al-Sagri","2813 ","ElectionCandidates_Original.csv"
"259 ","National Depth Allia-
nce","48 ","","Alliance","Baghdad","","   female
 ","Arwa Kamel Abdullah Salim Al-Qaisi","4027 ","ElectionCandidates_Original.csv"
"288 ","New generation","5 ","","Party","Sulaymaniyah","","Male","Aryan Aziz Ahmad Yousuf Tavgozi","1062 ","ElectionCandidates_Original.csv"
"257 ","State of Law Coalition","39 ","","Alliance","Baghdad","","Male","As a thunderous Zamel Samir
Al-Mouzani","3894 ","ElectionCandidates_Original.csv"
"257 ","State of Law Coalition","14 ","","Alliance","Wasit","","Male","Asaad Abbas Kazim Baji Al-Miyaji","7730 ","ElectionCandidates_Original.csv"
"252 ","Design Alliance","1 ","","Alliance","The egg","","Male","Asaad Abdul Amir Abdul Ghaffar
Mahawi Al-Eidani","763 ","ElectionCandidates_Original.csv"
"231 ","National State Forces Alliance","1 ","","Alliance","Diyala","","Male","Asaad Abdul Amir Qasim Jafar Al-Araji","4770 ","ElectionCandidates_Original.csv"
"244 ","Al-Arafri Foun-
dation Coalition","134 ","","Alliance","Baghdad","","Male","Asaad Abdul Hassan Ja'ifs Al-Tamimiyy","3462 ","ElectionCandidates_Original.csv"
"202 ","Sadiqun Movement","109 ","","Party","Baghdad","","Male","Asaad Abdul Musa Hadim Al-Adhari","2376 ","ElectionCandidates_Original.csv"
"202 ","Sadiqun Movement","95 ","","Party","Baghdad","","Male","Asaad Abdul Redha Jader Badri
Al-Marianini","2362 ","ElectionCandidates_Original.csv"
"294 ","Asaad Abdul-Jabbar Mazloum","1 ","","  Pe-
rson","Baghdad","","Male","Asaad Abdul-Jabbar Mazloum Lafta Al-Yeji","4552 ","ElectionCandidates_Original.csv"
"255 ","Progress Party","44 ","","Party","Baghdad","","Male","Asaad Hamad Hamoud Mohammed Al-Jabouri","3763 ","ElectionCandidates_Original.csv"
"212 ","The National Tribal Current in Iraq","3 ","","Party","Saladin","","Male","Asaad Hamad Shamil Abdul Rahim Al-Jabouri","5582 ","ElectionCandidates_Original.csv"
"231 ","National State Forces Alliance","19 ","","Alliance","Dhi Qar","","Male","Asaad Hamid Najm Abdul Wahab Diab","5205 ","ElectionCandidates_Original.csv"
"207 ","Reconstruction and Development Coali-
tion","18 ","","Alliance","Al-Qadisiyah","","Male","Asaad Hamza Aliwi Obaid Al-Janani","1109 ","ElectionCandidates_Original.csv"
"251 ","Rights Movement","26 ","","Party","The egg","","Male","Asaad Hani Abdul Karim Yasser
N Al-Saimri","738 ","ElectionCandidates_Original.csv"
"207 ","Reconstruction and Development Coali-
tion","25 ","","Alliance","The egg","","Male","Asaad Jassim Adharsaji Alinon","437 ","ElectionCandidates_Original.csv"
"252 ","Design Alliance","34 ","","Alliance","The egg","","Male","Asaad Mahmoud Jassim Alwan Al-Khazam","796 ","ElectionCandidates_Original.csv"
"281 ","Nineveh People's Union","45 ","","Alliance","Nineveh","","Male","Asaad Mohammed Salim Khadir","7375 ","ElectionCandidates_Original.csv"
"257 ","State of Law Coalition","5 ","","Alliance","The egg","","Male","Asaad Muhammad Muhammad Ali Muhammad Ha-
ssan Al-Hamozi","817 ","ElectionCandidates_Original.csv"
"252 ","Design Alliance","39 ","","Alliance","The egg","","Male","Asaad Muhammad Pharaoh of the Body of Al-Atish","801 ","ElectionCandidates_Original.csv"
"231 ","National State Forces Alliance","3 ","","Alliance","Babylon","","Male","Asaad Munim Abdul-Kazem Mutak Al-Muslimawi","2015 ","ElectionCandidates_Original.csv"
"218 ","Badr Organization","21 ","","Party","Al-Qadisiyah","","Male","Asaad Musa Jassim Hudhud Al-Khazaali","1134 ","ElectionCandidates_Original.csv"
"202 ","Sadiqun Movement","19 ","","Party","Maysan","","Male","Asaad Nihad Muzal Abdul Karim Al-Jawi","6354 ","ElectionCandidates_Original.csv"
"220 ","The most beautiful medium in serv-
ices","19 ","","Alliance","Wasit","","Male","Asaad Shaaban Abbas Kazim Al-Shajer Y","7608 ","ElectionCandidates_Original.csv"
"231 ","National State Forces Alliance","31 ","","Alliance","Dhi Qar","","Male","Asaad Shaker Abdel Sahib
Katie Al-Sawafni","5217 ","ElectionCandidates_Original.csv"
"244 ","Al-Arafri Foun-
dation Coalition","20 ","","Alliance","Nineveh","","Male","Asaad Suleiman Hassan Sakrbro","6961 ","ElectionCandidates_Original.csv"
"269 ","National res-
olution","106 ","","Alliance","Baghdad","","Male","Asaad Trad Hamza Mohsen Al-Zubaidi","4297 ","ElectionCandidates_Original.csv"
"231 ","National State Forces Alliance","2 ","","Alliance","Dhi Qar","","Male","Asaad Yasser N Sayah Jareh Al-Marshadi","5188 ","ElectionCandidates_Original.csv"
"218 ","Badr Organization","46 ","","Party","Baghdad","","Male","Asad Kadhim Abdullah Mashawar Mash-
awar","2678 ","ElectionCandidates_Original.csv"
"257 ","State of Law Coalition","6 ","","Alliance","Karbala","","Male","Asad Tarman Aziz Noural Yasser","6047 ","ElectionCandidates_Original.csv"
"277 ","Our falc-
ons","11 ","","Alliance","Saladin","","Male","Asaf Farhan Hamid Mohammed Al-Qaisi","5815 ","ElectionCandidates_Original.csv"
"251 ","Rights Movement","12 ","","Party","The two","","   female
 ","Asala Taklifkashash Mazid Al-Fatlawi","1448 ","ElectionCandidates_Original.csv"
"228 ","Sarar Aktna Alliance, Salah El-
Din Technical University","3 ","","Alliance","Saladin","","   female
 ","Ascetic Mahdi Gharib Abbas al-Zanki","5617 ","ElectionCandidates_Original.csv"
"213 ","Al-Fawzakho gathering","20 ","","Party","The egg","","female
 ","Aseel Abdul Hassan Ali Zahir Al-Qatrani","509 ","ElectionCandidates_Original.csv"
"202 ","Sadiqun Movement","135 ","","Party","Baghdad","","   female
 ","Aseel Abdul Karim Abdul Wahab Ibrahim Al-Obaidi","2402 ","ElectionCandidates_Original.csv"
"218 ","Badr Organization","117 ","","Party","Baghdad","","   female
 ","Aseel Abdul Rahim, phone number of Muzal Al-
Nafaei","2738 ","ElectionCandidates_Original.csv"
"255 ","Progress Party","25 ","","Party","Diyala","","   female
 ","Aseel Anwar Zakam Bro Al-Hayazei","4948 ","ElectionCandidates_Original.csv"
"272 ","The Arab Project, Iraq","53 ","","Party","Nineveh","","   female
 ","Aseel Hamid Rajab Mohammed Al-Jarjis","7259 ","ElectionCandidates_Original.csv"
"250 ","Alternative Allia-
nce","18 ","","Alliance","Karbala","","   female
 ","Aseel Kadhim Hamoud Hamza Al-Shiblawi","6027 ","ElectionCandidates_Original.csv"
"244 ","Al-Arafri Foun-
dation Coalition","14 ","","Alliance","Babylon","","   female
 ","Aseel Khaled Abdul Mohammed
Al-Kafli","2106 ","ElectionCandidates_Original.csv"
"239 ","Sumerian movement","32 ","","Party","Babylon","","   female
 ","Aseel Khalif Rashid Jassim Al-Mousawi","2090 ","ElectionCandidates_Original.csv"
"272 ","The Arab Project, Iraq","50 ","","Party","Nineveh","","   female
 ","Aseel Muhammad Rafat Saleh Abdul Qader Shahir N Agha","7256 ","ElectionCandidates_Original.csv"
"218 ","Badr Organization","75 ","","Party","Baghdad","","Male","Aseel Sabah Abdul Latif Hassan Al-Rubaie","2704 ","ElectionCandidates_Original.csv"
"269 ","National res-
olution","54 ","","Alliance","Baghdad","","   female
 ","Aseel Sabaji, Asim Mohammed Al-Shaikhli","4246 ","ElectionCandidates_Original.csv"
"231 ","National State Forces Alliance","22 ","","Alliance","The egg","","   female
 ","Ashjan Abbas Salman Musa Al-Jabri","634 ","ElectionCandidates_Original.csv"
"207 ","Reconstruction and Development Coali-
tion","16 ","","Alliance","Najaf","","   female
 ","Ashjan Abdul-Ilah Jawad Mahdi Al-Tulqanani","1518 ","ElectionCandidates_Original.csv"
"275 ","Kurdistan Democratic Pa-
rner","45 ","","Party","Nineveh","","   female
 ","Ashthri Mohammed Omar
Hassan Al-Kuwaianni","7312 ","ElectionCandidates_Original.csv"
"218 ","Badr Organization","65 ","","Party","Baghdad","","   female
 ","Ashwaq Abbas Harni Sarhan Al-Jabouri","2695 ","ElectionCandidates_Original.csv"
"277 ","Our falc-
      ons","4 ","","Alliance","Diyala","","   female
 ","Ashwaq Abdul Breesam Sultan Al-Dulaimi","4955 ","ElectionCandidates_Original.csv"
"269 ","National res-
olution","50 ","","Alliance","Nineveh","","   female
 ","Ashwaq Abdul Karim Mohammed Hamid","7195 ","ElectionCandidates_Original.csv"
"271 ","Services Alliance","81 ","","Alliance","Baghdad","","   female
 ","Ashwaq Abdul Rahman Farman Hassan Al-Arqawazi","4478 ","ElectionCandidates_Original.csv"
"207 ","Reconstruction and Development Coali-
tion","22 ","","Alliance","Al-Qadisiyah","","   female
 ","Ashwaq Abdulreza Abdulbejai Al-Zarijawi","1113 ","ElectionCandidates_Original.csv"
"224 ","Good news, Iraq","34 ","","Alliance","Baghdad","","   female
 ","Ashwaq Aziz Shnawa Ismail Al-Saadi","2924 ","ElectionCandidates_Original.csv"
"217 ","United Iraqi Turkmen Front","8 ","","Alliance","Kirkuk","","   female
 ","Ashwaq Jafar Mustafan Shahbaz","6131 ","ElectionCandidates_Original.csv"
"289 ","State Support Bloc","16 ","","Party","Dhi Qar","","   female
 ","Ashwaq Jamil Farhood Awda Al-Fandi","5534 ","ElectionCandidates_Original.csv"
"202 ","Sadiqun Movement","63 ","","Party","Baghdad","","   female
 ","Ashwaq Jasmzar Lafta Shamri","2331 ","ElectionCandidates_Original.csv"
"245 ","Canon's secr-
ets","13 ","","Party","Karbala","","   female
 ","Ashwaq Karim Abdul Rahim Ahmed Al-Maamouri","6001 ","ElectionCandidates_Original.csv"
"269 "," National res-
      olution","121 ","","Alliance","Baghdad","","   female
 ","Ashwaq Khaled Shanir N Falih Al-Azzawi","4312 ","ElectionCandidates_Original.csv"
"206 ","Civil Democratic Allia-
nce","16 ","","Alliance","Dhi Qar","","female
 ","Ashwaq Malik Hamad Rashid Al Hamami","5037 ","ElectionCandidates_Original.csv"
"275 ","Kurdistan Democratic Pa-
rner","1 ","","Party","Sulaymaniyah","","   female
 ","Ashwaq Najmuddin Abbas Muhammad al-Jaf","1009 ","ElectionCandidates_Original.csv"
"207 ","Reconstruction and Development Coali-
tion","4 ","","Alliance","Saladin","","   female
 ","Ashwaq Salem Hassan Haseer N Al-Jabouri","5559 ","ElectionCandidates_Original.csv"
"245 ","  Canon's secr-
          ets","15 ","","Party","Diyala","","   female
 ","Ashwaq Sir Wan Tayeb Reza Barzanjeh","4866 ","ElectionCandidates_Original.csv"
"224 ","Good news, Iraq","48 ","","Alliance","The egg","","   female
 ","Ashwaq Talib Mansour Ali Al-Sajjafni","610 ","ElectionCandidates_Original.csv"
"218 ","Badr Organization","32 ","","Party","The egg","","   female
 ","Asia Abdel-Wahid Sahar Abdel-Ali Al-Hamdi","544 ","ElectionCandidates_Original.csv"
"221 ","National Sovereignty Alliance - Le-
gislation","42 ","","Alliance","Baghdad","","   female
 ","Asia Hasirnakazim Fa-
rman","2795 ","ElectionCandidates_Original.csv"
"259 ","National Depth Allia-
nce","4 ","","Alliance","Dhi Qar","","   female
 ","Asia Jawad Kadhim Haseer
N Al-Rukani","5460 ","ElectionCandidates_Original.csv"
"251 ","Rights Movement","12 ","","Party","Baghdad","","   female
 ","Asifa Abbas Qader Mohammed Al-Dalu","3628 ","ElectionCandidates_Original.csv"
"202 ","Sadiqun Movement","39 ","","Party","Baghdad","","Male","Asim Muhammad Ali Muhammad
Al-Muhanna","2308 ","ElectionCandidates_Original.csv"
"244 ","Al-Arafri Foun-
dation Coalition","19 ","","Alliance","Karbala","","   female
 ","Asma Kazem Abdul Karim Ji Al-Shar
A","5985 ","ElectionCandidates_Original.csv"
"250 ","Alternative Allia-
nce","6 ","","Alliance","Baghdad","","   female
 ","Asma Saleh Hamoudi Ibrahim Al-Samarani","3533 ","ElectionCandidates_Original.csv"
"231 ","National State Forces Alliance","66 ","","Alliance","Baghdad","","   female
 ","Asma Salman Lafta Hazal Al-Rubaie","3091 ","ElectionCandidates_Original.csv"
"218 ","Badr Organization","16 ","","Party","Najaf","","   female
 ","Asmaa Abdel-Ilah Taher Mohammed Al-Dahan","1554 ","ElectionCandidates_Original.csv"
"212 ","The National Tribal Current in Iraq","13 ","","Party","Saladin","","   female
 ","Asmaa Ahmed Karji Jassim Al-Aswadi","5590 ","ElectionCandidates_Original.csv"
"244 ","Al-Arafri Foun-
dation Coalition","54 ","","Alliance","Nineveh","","   female
 ","Asmaa Fadel Mahmoud Ramadan Al-Jabouri","6995 ","ElectionCandidates_Original.csv"
"241 ","Azm Iraq Alliance","28 ","","Alliance","Baghdad","","female
 ","Asmaa Fakhri Jassim Hammadi Al-Samarani","3221 ","ElectionCandidates_Original.csv"
"259 ","National Depth Allia-
nce","64 ","","Alliance","Baghdad","","   female
 ","Asmaa Khamis Saleh Faraj Al-Mohammadi","4042 ","ElectionCandidates_Original.csv"
"281 ","Nineveh People's Union","60 ","","Alliance","Nineveh","","   female
 ","Asmaa Riyad Ghanem Ghazal Aouf","7389 ","ElectionCandidates_Original.csv"
"286 ","Civilians","60 ","","Party","Nineveh","","   female
 ","Asmaa Saad Ahmed Othman Sovaji","7450 ","ElectionCandidates_Original.csv"
"242 ","Leadership","23 ","","Alliance","Anbar","","   female
 ","Asmaa Shaaban Abdel Rajab Al-Rawi","233 ","ElectionCandidates_Original.csv"
"346 ","  Chaldean As-
         wan","1 ",""," Pe-
rson","Nineveh","","Male","Aswan Salem Sadeq Sava","7523 ","ElectionCandidates_Original.csv"
"221 ","National Sovereignty Alliance - Le-
gislation","20 ","","Alliance","Baghdad","","   female
 ","Atab Jassim NaseefJassim Al-Douri","2773 ","ElectionCandidates_Original.csv"
"279 ","United Saladin Alliance","7 ","","Alliance","Saladin","","Male","AtefAli Samir N Hassan Najjar","5834 ","ElectionCandidates_Original.csv"
"259 ","National Depth Allia-
nce","60 ","","Alliance","Baghdad","","Male","Athal Ahmed Abdul Redha Mohammed Al-Dahkha","4038 ","ElectionCandidates_Original.csv"
"241 ","Azm Iraq Alliance","3 ","","Alliance","Diyala","","Male","Atheer Abdul Wahab Ali Haseer N
Al-Samarani","4826 ","ElectionCandidates_Original.csv"
"231 ","National State Forces Alliance","80 ","","Alliance","Baghdad","","Male","Atheer Hammadi Issa Hadid Al-Jabouri","3105 ","ElectionCandidates_Original.csv"
"209 ","Rescuers","18 ","","Party","Baghdad","","Male","Atheer Hassan Mohsen Mahmoud Al-Moussawi","2600 ","ElectionCandidates_Original.csv"
"239 ","Sumerian movement","1 ","","Party","Dhi Qar","","Male","Atheer Hassan Omar Harb Al-Fadel","5263 ","ElectionCandidates_Original.csv"
"250 ","Alternative Allia-
nce","5 ","","Alliance","Baghdad","","Male","Atheer Ibrahim Mohammed Jassim Al-Dabbas","3532 ","ElectionCandidates_Original.csv"
"326 ","Atheer Ibrahim","1 ","","  Pe-
rson","Dohuk","","Male","Atheer Ibrahim Yohanna Bahi Yohanna
Al-Jalu","4625 ","ElectionCandidates_Original.csv"
"250 ","Alternative Allia-
nce","9 ","","Alliance","Diyala","","Male","Atheer Munther Bandar Faraj Al-Nadawi","4912 ","ElectionCandidates_Original.csv"
"202 ","Sadiqun Movement","57 ","","Party","Baghdad","","Male","Ather Hamid Mahmoud KhalafFaraji","2325 ","ElectionCandidates_Original.csv"
"206 ","Civil Democratic Allia-
nce","37 ","","Alliance","Baghdad","","Male","Ather Raad Qasim Jaafar Al-Himir Y","2440 ","ElectionCandidates_Original.csv"
"271 ","Services Alliance","23 ","","Alliance","Dhi Qar","","Male","Athermaji Kazim Abdul-Hussein Al-Zirjawi","5505 ","ElectionCandidates_Original.csv"
"279 ","United Saladin Alliance","19 ","","Alliance","Saladin","","Male","Atiya Hamad Hasir N        Ali Al-Jabouri","5846 ","ElectionCandidates_Original.csv"
"339 ","Attorney Ator David Yonathan","1 ","","  Pe-
rson","Kirkuk","","   female
 ","Atordawd Yonathan Yosef","6334 ","ElectionCandidates_Original.csv"
